,implementation,mean_type,distance,threshold,f1,accuracy
50,USE,mean,l1,0.9235497380574745,0.18038464372559132,0.38239866740699613
51,USE,mean,l1,0.9420207328186241,0.16773928522524992,0.32504164353137144
52,USE,mean,l1,0.9604917275797735,0.1566997121842021,0.2679067184897279
53,USE,mean,l1,0.9789627223409231,0.14761703922395614,0.2144919489172682
54,USE,mean,l1,0.9974337171020725,0.14012010294538174,0.16518600777345918
55,USE,mean,l1,1.015904711863222,0.13484381874175097,0.12648528595224875
56,USE,mean,l1,1.0343757066243715,0.13139703124162694,0.1
57,USE,mean,l1,1.052846701385521,0.12935900817726192,0.08367573570238757
58,USE,mean,l1,1.0713176961466706,0.12825609373365415,0.07462520821765686
59,USE,mean,l1,1.08978869090782,0.12776822468865615,0.07057190449750139
60,USE,mean,l1,1.1082596856689695,0.1275688049529161,0.06890616324264298
61,USE,mean,l1,1.126730680430119,0.12750910036401455,0.06840644086618546
62,USE,mean,l1,1.1452016751912686,0.12747595528983624,0.06812881732370905
63,USE,mean,l1,1.163672669952418,0.12746932834269079,0.06807329261521378
64,USE,mean,l2,0.0,0.045261669024045256,0.9250416435313714
65,USE,mean,l2,0.01847099476114949,0.045261669024045256,0.9250416435313714
66,USE,mean,l2,0.03694198952229898,0.045261669024045256,0.9250416435313714
67,USE,mean,l2,0.05541298428344847,0.045261669024045256,0.9250416435313714
68,USE,mean,l2,0.07388397904459797,0.045261669024045256,0.9250416435313714
69,USE,mean,l2,0.09235497380574746,0.045261669024045256,0.9250416435313714
70,USE,mean,l2,0.11082596856689694,0.045261669024045256,0.9250416435313714
71,USE,mean,l2,0.12929696332804644,0.04802259887005649,0.925152692948362
72,USE,mean,l2,0.14776795808919593,0.04802259887005649,0.925152692948362
73,USE,mean,l2,0.16623895285034543,0.04802259887005649,0.925152692948362
74,USE,mean,l2,0.18470994761149492,0.04802259887005649,0.925152692948362
75,USE,mean,l2,0.20318094237264442,0.04936530324400564,0.925152692948362
76,USE,mean,l2,0.22165193713379389,0.05758426966292135,0.9254858411993337
77,USE,mean,l2,0.24012293189494338,0.06438068579426172,0.9257634647418101
78,USE,mean,l2,0.2585939266560929,0.07505211952744961,0.9260966129927818
79,USE,mean,l2,0.27706492141724237,0.08701657458563535,0.9265963353692394
80,USE,mean,l2,0.29553591617839187,0.10403832991101986,0.927318156579678
81,USE,mean,l2,0.31400691093954136,0.12567567567567564,0.9281510272071072
82,USE,mean,l2,0.33247790570069086,0.14819759679572764,0.9291504719600222
83,USE,mean,l2,0.35094890046184035,0.16688567674113008,0.9295946696279844
84,USE,mean,l2,0.36941989522298985,0.19201030927835053,0.9303720155469184
85,USE,mean,l2,0.38789088998413934,0.22698612862547288,0.9319267073847862
86,USE,mean,l2,0.40636188474528884,0.2517048977061377,0.9329816768461966
87,USE,mean,l2,0.42483287950643833,0.2858873410054512,0.9345363686840644
88,USE,mean,l2,0.44330387426758777,0.31353919239904987,0.9358134369794558
89,USE,mean,l2,0.46177486902873727,0.34109429569266586,0.9371460299833426
90,USE,mean,l2,0.48024586378988676,0.37620396600566575,0.9388672959466963
91,USE,mean,l2,0.49871685855103626,0.3971078976640712,0.9398112159911161
92,USE,mean,l2,0.5171878533121858,0.42601626016260163,0.9411993337034981
93,USE,mean,l2,0.5356588480733353,0.46048472075869334,0.9431426985008329
94,USE,mean,l2,0.5541298428344847,0.49618708693441793,0.9449750138811771
95,USE,mean,l2,0.5726008375956343,0.5315227934044617,0.9463631315935591
96,USE,mean,l2,0.5910718323567837,0.5573618207152811,0.9470849528039977
97,USE,mean,l2,0.6095428271179332,0.5724350506384852,0.9460855080510827
98,USE,mean,l2,0.6280138218790827,0.5930862140774678,0.9457523598001111
99,USE,mean,l2,0.6464848166402322,0.610011641443539,0.9441976679622432
100,USE,mean,l2,0.6649558114013817,0.6125223613595706,0.9398667406996113
