,implementation,preprocess,mean_type,distance,threshold,f1,accuracy
38,USE,lower_clean,mean,l1,12.710024213034,0.617865204772654,0.934203220433093
613,USE,none,mean,l2,0.683426806162531,0.61342062193126,0.934425319267074
673,USE,none,median,l1,11.1975055876232,0.613173652694611,0.946196557468073
612,USE,none,mean,l2,0.664955811401382,0.612522361359571,0.939866740699611
231,USE,lower_clean,median,l2,0.7133894991601,0.61225785963798,0.932204330927263
611,USE,none,mean,l2,0.646484816640232,0.610011641443539,0.944197667962243
39,USE,lower_clean,mean,l1,13.0444985344296,0.609267563527653,0.927429205996669
227,USE,lower_clean,median,l2,0.640221345400089,0.609157808667212,0.946918378678512
676,USE,none,median,l1,12.2154606410435,0.608779857972886,0.93270405330372
420,USE,lower,median,l1,12.2789350237165,0.608365019011407,0.931371460299833
416,USE,lower,median,l1,10.9146089099702,0.60807996668055,0.947751249305941
355,USE,lower,mean,l2,0.638971751824126,0.606741573033708,0.945585785674625
34,USE,lower_clean,mean,l1,11.3721269274515,0.605907172995781,0.948139922265408
167,USE,lower_clean,median,l1,13.2340249561128,0.605774569683509,0.921154913936702
484,USE,lower,median,l2,0.664571922512923,0.60439956725568,0.939089394780677
358,USE,lower,mean,l2,0.693740759123337,0.604076590487956,0.928817323709051
672,USE,none,median,l1,10.8581872364831,0.603694374475231,0.947584675180455
105,USE,lower_clean,mean,l2,0.740134663624017,0.603563474387528,0.920932815102721
291,USE,lower,mean,l1,11.8196826510959,0.60184842883549,0.940199888950583
485,USE,lower,median,l2,0.683032253693837,0.601136743564025,0.93375902276513
483,USE,lower,median,l2,0.646111591332008,0.600233553912028,0.942976124375347
159,USE,lower_clean,median,l1,10.5193531702435,0.598920863309353,0.95047196002221
740,USE,none,median,l2,0.667126620174718,0.597989949748744,0.937812326485286
739,USE,none,median,l2,0.648595325169865,0.597532767925983,0.942032204330927
741,USE,none,median,l2,0.685657915179571,0.59515111258718,0.932315380344253
98,USE,lower_clean,mean,l2,0.613770208858941,0.594762538837106,0.949305941143809
232,USE,lower_clean,median,l2,0.731681537600102,0.594482349451201,0.924097723486952
292,USE,lower,mean,l1,12.1573878696987,0.593707250341997,0.934036646307607
610,USE,none,mean,l2,0.628013821879083,0.593086214077468,0.945752359800111
547,USE,none,mean,l1,11.8428537580702,0.59139389481427,0.938312048861743
415,USE,lower,median,l1,10.5735273815337,0.590451160753395,0.948084397556913
677,USE,none,median,l1,12.5547789921836,0.589622641509434,0.92270960577457
226,USE,lower_clean,median,l2,0.621929306960087,0.589545844044559,0.946807329261521
421,USE,lower,median,l1,12.6200165521531,0.589498114302292,0.921432537479178
354,USE,lower,mean,l2,0.620715416057722,0.589437819420784,0.94647418101055
614,USE,none,mean,l2,0.701897800923681,0.588931636578869,0.922876179900056
290,USE,lower,mean,l1,11.4819774324932,0.588803866290777,0.943309272626319
738,USE,none,median,l2,0.630064030165012,0.587701196863392,0.944530816213215
486,USE,lower,median,l2,0.701492584874752,0.586976459798227,0.924986118822876
671,USE,none,median,l1,10.518868885343,0.586206896551724,0.948028872848417
40,USE,lower_clean,mean,l1,13.3789728558253,0.585123966942149,0.916379789006108
548,USE,none,mean,l1,12.1812210083008,0.584969532836831,0.931926707384786
359,USE,lower,mean,l2,0.71199709488974,0.582934384680372,0.91776790671849
33,USE,lower_clean,mean,l1,11.0376526060559,0.582923558337059,0.948195446973903
546,USE,none,mean,l1,11.5044865078396,0.582765531062124,0.942198778456413
482,USE,lower,median,l2,0.627651260151094,0.580805982550893,0.943975569128262
293,USE,lower,mean,l1,12.4950930883014,0.579289026275116,0.924430871737923
97,USE,lower_clean,mean,l2,0.595718143892502,0.579020979020979,0.949861188228762
168,USE,lower_clean,median,l1,13.5733589293465,0.578743211792087,0.909550249861188
742,USE,none,median,l2,0.704189210184425,0.577575757575757,0.922598556357579
158,USE,lower_clean,median,l1,10.1800191970099,0.574755472752678,0.949305941143809
225,USE,lower_clean,median,l2,0.603637268520084,0.574525745257453,0.947695724597446
353,USE,lower,mean,l2,0.602459080291319,0.573733751680861,0.947196002220988
549,USE,none,mean,l1,12.5195882585314,0.5734394124847,0.922598556357579
678,USE,none,median,l1,12.8940973433237,0.573362208987547,0.912493059411438
106,USE,lower_clean,mean,l2,0.758186728590457,0.572528883183569,0.907551360355358
609,USE,none,mean,l2,0.609542827117933,0.572435050638485,0.946085508051083
